RULE_ID	SOURCE_PATH	SOURCE_LINE	SOURCE_HEADING	SOURCE_RULE	RULE_CATEGORY	RULE_STRENGTH	TARGET_PATH	TARGET_LINE	TARGET_HEADING	TARGET_RULE	SEMANTIC_MATCH	STRENGTH_PRESERVED	EXCEPTION_PRESERVED	MIGRATION_STATUS	NOTES
NKTB_001	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	3	General Paragraph	This Kitab is the 100% canonical AIRO Finance roadmap and project guidance source.	MIGRATION_RULE	SHOULD	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	208	Normative Rules	This Kitab is the 100% canonical AIRO Finance roadmap and project guidance source.	YES	YES	YES	PRESERVED_EXACT	none
NKTB_002	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	5	CANONICAL ROADMAP LOCK	Technical implementation docs, V1.2 docs, phase docs, dashboard docs, write-preview docs, and PASS reports are evidence only. They do not define the current sprint.	MIGRATION_RULE	SHOULD	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	209	Normative Rules	Technical implementation docs, V1.2 docs, phase docs, dashboard docs, write-preview docs, and PASS reports are evidence only. They do not define the current sprint.	YES	YES	YES	PRESERVED_EXACT	none
NKTB_003	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	7	General Paragraph	If any project document conflicts with this Kitab, this Kitab wins.	MIGRATION_RULE	SHOULD	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	210	Normative Rules	If any project document conflicts with this Kitab, this Kitab wins.	YES	YES	YES	PRESERVED_EXACT	none
NKTB_004	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	9	CANONICAL ROADMAP LOCK	Current sprint must not advance beyond Sprint 0A until Sprint 0A Definition of Done is fully audited against this Kitab and committed as PASS.	MIGRATION_RULE	MUST	docs/afpd/99_HISTORICAL_AND_SUPERSEDED.md	23	Normative Rules	Current sprint must not advance beyond Sprint 0A until Sprint 0A Definition of Done is fully audited against this Kitab and committed as PASS.	YES	YES	YES	PRESERVED_HISTORICAL	none
NKTB_005	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	13	General Paragraph	Status: final operating doctrine for AIRO Personal Finance until project completion.	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	210	Normative Rules	Status: final operating doctrine for AIRO Personal Finance until project completion.	YES	YES	YES	PRESERVED_EXACT	none
NKTB_006	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	15	AIRO Finance Command Center - Final Kitab v2	This document is the primary source of truth for future AI/developer sessions. Do not redesign the architecture from zero unless the user explicitly approves a breaking change.	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	211	Normative Rules	This document is the primary source of truth for future AI/developer sessions. Do not redesign the architecture from zero unless the user explicitly approves a breaking change.	YES	YES	YES	PRESERVED_EXACT	none
NKTB_007	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	17	General Paragraph	---	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	212	Normative Rules	---	YES	YES	YES	PRESERVED_EXACT	none
NKTB_008	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	21	General Paragraph	AIRO Personal Finance is not a generic spreadsheet tracker. The target is:	MIGRATION_RULE	SHOULD	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	211	Normative Rules	AIRO Personal Finance is not a generic spreadsheet tracker. The target is:	YES	YES	YES	PRESERVED_EXACT	none
NKTB_009	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	23	General Paragraph	```text	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	213	Normative Rules	```text	YES	YES	YES	PRESERVED_EXACT	none
NKTB_010	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	24	General Paragraph	Telegram-based personal finance copilot	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	214	Normative Rules	Telegram-based personal finance copilot	YES	YES	YES	PRESERVED_EXACT	none
NKTB_011	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	25	General Paragraph	+ wallet/account ledger discipline	MIGRATION_RULE	SHOULD	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	212	Normative Rules	+ wallet/account ledger discipline	YES	YES	YES	PRESERVED_EXACT	none
NKTB_012	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	26	General Paragraph	+ domain-specific financial records	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	215	Normative Rules	+ domain-specific financial records	YES	YES	YES	PRESERVED_EXACT	none
NKTB_013	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	27	General Paragraph	+ central event index	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	216	Normative Rules	+ central event index	YES	YES	YES	PRESERVED_EXACT	none
NKTB_014	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	28	General Paragraph	+ clarification-first data cleaning	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	217	Normative Rules	+ clarification-first data cleaning	YES	YES	YES	PRESERVED_EXACT	none
