SIGNAL_ID	DOMAIN	SIGNAL_TYPE	EVENT_OR_METRIC_NAME	PRODUCER	MANDATORY_FIELDS	REDACTION_RULE	CARDINALITY_BOUNDARY	SUCCESS_CONDITION	WARNING_CONDITION	CRITICAL_CONDITION	RETENTION_CLASS	CORRELATION_FIELDS	CANDIDATE_SOURCE_PATH
SIG-001	SERVICE_HEALTH	METRIC	eab.service.health	GATEWAY_AND_HERMES_WORKER	component_name, process_identity, status, uptime_seconds	None	LOW	status == HEALTHY	status == DEGRADED	status == UNHEALTHY	OPERATIONAL_AUDIT	component_name, process_identity, deployment_version	ecosystem/projects/earesmes-arfin-bridge/src/health/health_checker.py
SIG-002	AUTHENTICATION	EVENT	eab.auth.verify	AUTH_GUARD	request_id, key_id, ts, result	Redact raw secret & signature	LOW	result == PASS	result == EXPIRED_TS	result == INVALID_SIG	SECURITY_AUDIT	request_id, key_id, deployment_version	ecosystem/projects/earesmes-arfin-bridge/src/adapter/auth_guard.py
SIG-003	OWNER_AUTHORIZATION	EVENT	eab.owner_auth.verify	AUTH_GUARD	request_id, owner_pseudonym, result	Keyed HMAC pseudonym for chat_id	LOW	result == PASS	result == UNAUTHORIZED_CHAT	result == GROUP_CHAT_REJECT	SECURITY_AUDIT	request_id, owner_pseudonym	ecosystem/projects/earesmes-arfin-bridge/src/adapter/auth_guard.py
SIG-004	PROMPT_BINDING	EVENT	eab.prompt.bind_check	BOUNDED_ADAPTER	request_id, prompt_id, owner_pseudonym, result	Keyed HMAC pseudonym	MEDIUM	result == PASS	result == PROMPT_MISMATCH	result == PROMPT_EXPIRED	OPERATIONAL_AUDIT	request_id, prompt_id, owner_pseudonym	ecosystem/projects/earesmes-arfin-bridge/src/adapter/bounded_adapter.py
SIG-005	PENDING_REVALIDATION	EVENT	eab.pending.revalidate	BOUNDED_ADAPTER	request_id, pending_id, expected_ver, result	No raw transaction notes	MEDIUM	result == PASS	result == STALE_VERSION	result == UNKNOWN_PENDING	OPERATIONAL_AUDIT	request_id, pending_id, pending_version	ecosystem/projects/earesmes-arfin-bridge/src/adapter/bounded_adapter.py
SIG-006	REVIEW_QUEUE_STAGING	EVENT	eab.review_queue.stage	QUEUE_SERVICE	request_id, review_item_id, pending_id, status	Redact raw financial account balance	HIGH	status == STAGED	status == DUPLICATE_BLOCKED	status == STAGING_ERROR	FINANCIAL_AUDIT	request_id, review_item_id, pending_id	ecosystem/projects/earesmes-arfin-bridge/src/review_queue/queue_service.py
SIG-007	IDEMPOTENCY	EVENT	eab.idempotency.check	IDEMPOTENCY_ENGINE	request_id, idempotency_key_hash, match_type	Hash idempotency key	HIGH	match_type == NEW	match_type == CACHED_HIT	match_type == PAYLOAD_MISMATCH	OPERATIONAL_AUDIT	request_id, idempotency_key_hash	ecosystem/projects/earesmes-arfin-bridge/src/idempotency/store.py
SIG-008	DUPLICATE_OPERATION	EVENT	eab.duplicate.check	IDEMPOTENCY_ENGINE	request_id, root_source_record_id, exact_mutation_hash, result	Hash mutation payload	HIGH	result == UNIQUE	result == DUPLICATE_BLOCKED	result == STORE_ERROR	OPERATIONAL_AUDIT	request_id, root_source_record_id, exact_mutation_hash	ecosystem/projects/earesmes-arfin-bridge/src/idempotency/store.py
SIG-009	ITEMIZED_BATCH	EVENT	eab.batch.item_process	BOUNDED_ADAPTER	request_id, client_item_id, item_index, item_application_status, item_application_error_code, pending_id, review_item_id	Item-level correlation mandatory	HIGH	status == SUCCESS	status == PARTIAL_FAIL	status == ITEM_FAILED	OPERATIONAL_AUDIT	request_id, audit_correlation_id, client_item_id, item_index, pending_id, review_item_id	ecosystem/projects/earesmes-arfin-bridge/src/adapter/bounded_adapter.py
SIG-010	EXPIRY	EVENT	eab.prompt.expire	EXPIRY_WORKER	pending_id, prompt_id, active_ttl_hours	None	MEDIUM	state == EXPIRED_UNRESOLVED	ttl > 24h	backlog queue error	OPERATIONAL_AUDIT	pending_id, prompt_id	ecosystem/projects/earesmes-arfin-bridge/src/backlog/expiry_worker.py
SIG-011	DURABLE_BACKLOG	EVENT	eab.backlog.store	BACKLOG_STORE	pending_id, root_source_record_id, backlog_status	None	MEDIUM	status == STORED	status == HIGH_BACKLOG_COUNT	status == STORE_FAIL	OPERATIONAL_AUDIT	pending_id, root_source_record_id	ecosystem/projects/earesmes-arfin-bridge/src/backlog/expiry_worker.py
