type_code	type_description	product_segment	price_band	total_retail_2026	volume_share_pct	ytd_growth_status	portfolio_classification	strategic_action
MM1	BEAT STREET	MATIK_LOW	MID_BAND	8785	11.88	STABLE_BACKBONE	BACKBONE_VOLUME_LEADER	Maintain stock days 10-14 and secure main dealer supply
MJ1	BEAT SPORTY CBS	MATIK_LOW	ENTRY_BAND	8151	11.02	STABLE_BACKBONE	BACKBONE_VOLUME_LEADER	Maintain high volume distribution across all outlets
GD4	REVO X	CUB_LOW	ENTRY_BAND	4655	6.29	HIGH_CUB_DEMAND	BACKBONE_VOLUME_LEADER	Capitalize plantation/agricultural territory demand in Merangin & Tebo
MRB	SCOOPY FASHION	MATIK_MID	MID_BAND	4320	5.84	STABLE_MID_AT	BACKBONE_VOLUME_LEADER	Maintain fashion segment dominance and color stock mix
MS1	SCOOPY PRESTIGE	MATIK_MID	MID_BAND	3773	5.10	GROWING_MID_AT	BACKBONE_VOLUME_LEADER	Maintain prestige segment stock and smartkey promo
MSB	SCOOPY STYLISH	MATIK_MID	MID_BAND	3305	4.47	STABLE_MID_AT	BACKBONE_VOLUME_LEADER	Ensure stylish color variant availability
ML1	BEAT SPORTY DLX SMART KEY	MATIK_LOW	MID_BAND	3171	4.29	STABLE_LOW_AT	BACKBONE_VOLUME_LEADER	Support smart key adoption in urban territory
ESL	CRF150L	SPORT_MID	UPPER_MID_BAND	3124	4.22	HIGH_SPORT_DEMAND	BACKBONE_VOLUME_LEADER	Maintain trail segment leadership in Sarolangun & Merangin
MK1	BEAT SPORTY CBS ISS DELUXE	MATIK_LOW	MID_BAND	3126	4.23	STABLE_LOW_AT	BACKBONE_VOLUME_LEADER	Maintain ISS variant distribution
GE5	SUPRA X 125 SW	CUB_MID	ENTRY_BAND	310	0.42	STABLE_CUB	NICHE_SPECIALTY_MODEL	Target utility/workhorse buyers in rural territory
GF5	SUPRA X 125 CW	CUB_MID	ENTRY_BAND	3060	4.14	STABLE_CUB	BACKBONE_VOLUME_LEADER	Maintain CUB premium leadership
GB4	REVO FIT	CUB_LOW	ENTRY_BAND	3018	4.08	STABLE_CUB	BACKBONE_VOLUME_LEADER	Support fleet & entry-level commuter sales
NE0	VARIO 125 CBS ISS	MATIK_MID	MID_BAND	2154	2.91	STABLE_MID_AT	BACKBONE_VOLUME_LEADER	Maintain 125cc commuter backbone share
