CONFIG_ID	SECRET_OR_NON_SECRET	OWNER	STORAGE_BOUNDARY	INJECTION_METHOD	DEFAULT_ALLOWED	ROTATION_REQUIRED	VALIDATION_METHOD	FAILURE_BEHAVIOR	REDACTION_RULE	DEPLOYMENT_STAGE_REQUIRED	THRESHOLD_CLASSIFICATION	THRESHOLD_ID
CFG-01	SECRET	SECURITY_LEAD	Secret Manager / Vault	ENV_VAR (EAB_SERVICE_SECRET)	NO	YES (90 days)	HMAC validation test	Fail closed (401)	Must redact in all logs	Stage 1	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	TR-021
CFG-02	SECRET	SECURITY_LEAD	Secret Manager / Vault	ENV_VAR (EAB_AUDIT_KEY)	NO	YES (180 days)	Keyed HMAC test	Fail closed (500)	Must redact in all logs	Stage 1	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	TR-022
CFG-03	SECRET	SECURITY_LEAD	Secret Manager / Vault	ENV_VAR (TELEGRAM_BOT_TOKEN)	NO	YES (On breach)	Telegram API getMe	Fail closed (Halt)	Must redact in all logs	Stage 1	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	N/A
CFG-04	NON_SECRET	PRODUCT_OWNER	Config Map / File	ENV_VAR (EAB_SERVICE_AUTH_KEY_ID)	NO	YES	Key ID lookup	Fail closed (401)	Log Key ID	Stage 1	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	N/A
CFG-05	NON_SECRET	PRODUCT_OWNER	Config Map / File	ENV_VAR (EAB_OWNER_ACTOR_ALLOWLIST)	NO	NO	Numeric ID parsing	Fail closed (403)	Log Keyed HMAC pseudonym	Stage 1	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	N/A
CFG-06	NON_SECRET	PRODUCT_OWNER	Config Map / File	ENV_VAR (EAB_OWNER_CHAT_ALLOWLIST)	NO	NO	Numeric ID parsing	Fail closed (403)	Log Keyed HMAC pseudonym	Stage 1	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	N/A
CFG-07	NON_SECRET	PRODUCT_OWNER	Config Map / File	ENV_VAR (EAB_CANARY_OWNER_ACTOR_PRINCIPAL)	NO	NO	Numeric ID parsing	Fail closed (403)	Log Keyed HMAC pseudonym	Stage 3	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	N/A
CFG-08	NON_SECRET	PRODUCT_OWNER	Config Map / File	ENV_VAR (EAB_CANARY_CONVERSATION_PRINCIPAL)	NO	NO	Numeric ID parsing	Fail closed (403)	Log Keyed HMAC pseudonym	Stage 3	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	N/A
CFG-09	NON_SECRET	ENGINEERING	Config Map / File	ENV_VAR (EAB_SCHEMA_VERSION)	YES ("1.0")	NO	Version string match	Fail closed (400)	Log value	Stage 1	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	N/A
CFG-10	NON_SECRET	INFRASTRUCTURE	Config Map / File	ENV_VAR (EAB_ADAPTER_TIMEOUT_MS)	YES (8000)	NO	Numeric range check	Fail closed (8000ms)	Log value	Stage 1	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	TR-023
