dealer_code	dealer_name	total_retail_2026	cash_ratio_pct	credit_ratio_pct	top_finco_name	top_finco_share_pct	avg_dp_real_pct	financing_classification	strategic_action
01001	PT. CITRA LENCANA SAKTI - BANGKO	3499	22.4	77.6	FIFGROUP	58.2	12.5	BALANCED_FINANCING	Optimize multi-Finco approval flow and maintain Tier-1 partnership
01002	PT. TUNAS DWIPA MATRA - BANGKO	3481	24.1	75.9	FIFGROUP	61.4	11.8	BALANCED_FINANCING	Maintain Tier-1 Finco share and expand Tier-2 credit penetration
01003	PT. TUNAS DWIPA MATRA - BUNGO	2944	21.8	78.2	FIFGROUP	64.5	11.2	HIGH_RISK_FINANCING_GAP	Diversify Finco portfolio to reduce single-Finco dependency above 60%
01004	PT. BADORAY MOTOR - LINTAS	2812	26.5	73.5	ADIRA_FINANCE	44.8	13.1	BALANCED_FINANCING	Strengthen Adira & FIF dual-anchor partnership
01005	PT. CITRA LENCANA SAKTI - SINGKUT	2595	19.2	80.8	FIFGROUP	55.6	10.5	CREDIT_EXPANSION_OPPORTUNITY	Expand joint promo with FIFGROUP & OTO for rural credit penetration
01006	CV. WULAN JAYA MOTOR - RIMBO	2474	18.5	81.5	FIFGROUP	59.1	10.2	CREDIT_EXPANSION_OPPORTUNITY	Optimize DP promo and introduce Tier-2 Finco options
01007	PT. ASTRA INTERNATIONAL TBK-HONDA	2103	38.2	61.8	FIFGROUP	71.5	14.8	HIGH_RISK_FINANCING_GAP	Diversify credit approvals beyond FIFGROUP anchor share
01008	PT. BULAN MOTOR - TUNGKAL	1920	31.4	68.6	ADIRA_FINANCE	42.1	12.8	BALANCED_FINANCING	Maintain balanced cash and credit portfolio in coastal territory
01009	PT. NUSANTARA SURYA SAKTI - JAMBI	1737	28.9	71.1	OTHER_FINCO	52.3	13.5	BALANCED_FINANCING	Leverage internal NSS financing and external Finco partnerships
01010	PT. BULAN MOTOR - MERLUNG	1694	20.6	79.4	FIFGROUP	57.8	11.0	BALANCED_FINANCING	Support plantation area credit demand with stable DP requirements
01011	POS PATRIA - MENDALO	1320	34.8	65.2	FIFGROUP	48.9	14.2	BALANCED_FINANCING	Capitalize student & commuter cash/credit demand in Mendalo ring
01012	POS PATRIA - BUNGO	900	29.1	70.9	FIFGROUP	53.4	12.1	BALANCED_FINANCING	Maintain POS credit approval cadence and FLP lead conversion
