bundle	filename	format	units_total	sha256	authority_hint	coverage_status	batch	limitation
All.zip	00. BEST Juli 2026 - Watermark.pdf	pdf	47	0c3e9669dceb4766b5f001e8c8b5543b4110d87fdd506e914810a7bdf470f742	OPERATIONAL_REVIEW_CURRENT	RECONSTRUCTED_WITH_LIMITATIONS	BATCH05	Latest BEST meeting in this cluster. Text extracted; reconstructed as monthly operating-review rhythm, not row-perfect dealer performance ledger.
All.zip	Materi Closing BEST Juni 2026_watermark.pdf	pdf	49	db99f5678ae21b239a0a92a9b2b4d7a3ba5c84f041892c24be7ce4f6c611c9f6	OPERATIONAL_REVIEW_HISTORICAL_2026	RECONSTRUCTED_WITH_LIMITATIONS	BATCH05	Historical support for BEST cadence and recurring digital/BTL/CRM controls; not treated as current July/August policy except where repeated by later source.
All.zip	BEST April 2026_watermark (1).pdf	pdf	47	4f9ced557478ae93407b4d62f6481c8fab21e53ccc846f2e149952baedeb4215	OPERATIONAL_REVIEW_HISTORICAL_2026	RECONSTRUCTED_WITH_LIMITATIONS	BATCH05	Historical support for BEST cadence, business control, PDI digital, exterior/fascia, and CRM controls.
All.zip	BEST Maret 2026_watermark (2).pdf	pdf	53	1ad8111eeb7607e662e5ec9e8b957d87fe0d3b29f3c4c302ab80fb666a40f917	OPERATIONAL_REVIEW_HISTORICAL_2026	RECONSTRUCTED_WITH_LIMITATIONS	BATCH05	Historical support for Q1 sales/logistics/activity pattern and issue vocabulary; not current operational target.
All.zip	BEST Februari 2026 (watermark).pdf	pdf	41	9e1241fecee218db70677319d840c09545fb0c9bd36b0e2e6047959315402d1a	OPERATIONAL_REVIEW_HISTORICAL_2026	RECONSTRUCTED_WITH_LIMITATIONS	BATCH05	Historical support for digital presence, BTL execution accuracy, PDI tools, HC3/CDB/Mystery/LCR controls.
All.zip	Best Meeting Desember 2025.pdf	pdf	32	4fa86398fbdeb0f2f48a4839dd6e355e93a23b567a1fa8e1f7b7e04c87162682	OPERATIONAL_REVIEW_HISTORICAL_2025	RECONSTRUCTED_WITH_LIMITATIONS	BATCH05	Historical support for 2026 market calendar planning and BEST operating review topics.
All.zip	BEST CLOSING NOVEMBER 2025 (Watermark).pdf	pdf	33	48e29275a5d7fdcc0bca1f02f60e598c1d107d9b290be2714d98ecfe43e4326c	OPERATIONAL_REVIEW_HISTORICAL_2025	RECONSTRUCTED_WITH_LIMITATIONS	BATCH05	Historical support for 2026 forecast/calendar/KPI preparation and automated BTL orientation.
All.zip	BEST CLOSING OCTOBER 2025 (Watermark).pdf	pdf	55	602e3906269c5aac56913b0f326367eccbe0c7ecbceb32c01eab518ef0aac531	OPERATIONAL_REVIEW_HISTORICAL_2025	RECONSTRUCTED_WITH_LIMITATIONS	BATCH05	Historical support for thematic event consistency, SPK phone accuracy, run-out controls, actual BTL by SEEDS, and social content review.
All.zip	Meeting Netdev Strategy 2026 dan Perapihan Pengkodean POS.pdf	pdf	28	bf9f024b71890db5e14646bcc3410214bf0703c03699a2cdd572312e2ee7aba7	CURRENT_NETWORK_STRATEGY_SCREEN_CAPTURE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH05	Image/screenshot PDF: text extraction empty. Reconstruction is from visual-render inspection of key pages/contact sheets, not row-perfect text.
All.zip	ND Plan & Reshape Review_Sinsen 2026.pptx	pptx	64	8e8f5e9a3b2d8c0aba3cb3f4e1dc0faed3811ddb6d17342202d9c19facb01279	CURRENT_NETWORK_DEVELOPMENT_REVIEW_TEMPLATE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH05	Actual deck text extracted and visually checked. Many tables are review templates/dummy examples; reconstructed as required thinking flow/template, not actual filled MD performance.
Owner note	Reshape 317de8546217800a9a63e12937400d72.md	md	1	11ab36c28f921e2767dedabfccec08e04618d58d3a7914e23480c4504af4d174	SUPPORTING_OWNER_NOTE_LOW_AUTHORITY	RECONSTRUCTED_WITH_LIMITATIONS	BATCH05	Short owner/note excerpt; useful as caution on competence-readiness scoring logic but not canonical Honda NetDev source.
