topic	authority_class	preferred_authority	lower_or_historical_authority	resolver_rule
NOS current network standard	CURRENT	NOS 2026 workbook set / change-control workbook	NOS 2023 deck + workbook	2026 supersedes 2023 for current checklist/scoring; 2023 retained as lineage
Network development / Reshape	CURRENT_2026	ND Plan & Reshape Review 2026 + NetDev Strategy 2026 + latest applicable BEST 2026	earlier BEST 2025/early-2026	Use latest applicable operating meeting for period-specific status
BTL current network/activity standard	CURRENT_2026	NOS BTL 2026 + latest applicable BEST 2026	2022/2023 BTL letters	Old quotas/financial terms/COVID clauses historical only
Virtual Exhibition operating guidance	LATEST_AVAILABLE_NOT_CONFIRMED_CURRENT	2025 NMS/survey guidance; 2024 plan for KPI model	2022 VE/SAFARI	No supplied 2026 VE authority
CRM methods	DURABLE_METHOD_WITH_VERSIONED_WORKFLOW	2024 CRM training for CDB/lead logic; newer 2026 system facts if available	older workflow-specific tool/cadence	Tool names, allocation and follow-up cadence are version-sensitive
Target / Forecast / Dealer Review	DURABLE_METHOD	ASSDP target/dealer review/demand sources + workbook logic	historical examples	Current target values must come from current business data
Niguri	HISTORICAL_METHOD_PENDING_CURRENT_SCHEDULE_AUTHORITY	Niguri 2023 deck for planning concept	conflicting schedule in same slide	Planning method usable; exact current submission calendar unresolved
Sales / Stock monitoring	DURABLE_METHOD_PLUS_CURRENT_DATA	ASSDP monitoring deck + current business-memory snapshots	historical sample values	Method stable; actual state must resolve by requested date
Pricing / FID / BA	DURABLE_FORMULAS_WITH_HISTORICAL_THRESHOLDS	ASSDP pricing/FID-BA deck for DP Real/FID/BA definitions	2023 thresholds	Current lender/program thresholds require current authority
Commercial program / MSW	TIME_BOUND_CURRENTNESS_RESOLVER	formal applicable Juklak / revisions by requested date	superseded/not-valid program files	August 2026 latest supplied baseline; resolve exact requested date
Market share actual	CURRENT_DATA_REQUIRED	same-period brand volume + total-market denominator	older denominator	Never mix Honda current volume with unavailable/different-period denominator
Ring mapping	HISTORICAL_UNTIL_CONFIRMED	2022 ring map	none newer supplied	Do not assume current territory ring without confirmation
FLP uniform	LATEST_SUPPLIED_NOT_CONFIRMED_CURRENT	5 Jun 2025 instruction	older appearance guidance	Verify unsuperseded before current enforcement
Leadership/coaching/negotiation/problem solving	DURABLE_METHOD	ASSDP Basic/Intermediate/Advance training sources	training timings/examples	Methods reusable; timing/example claims not universal
Integrated TTM / POS current 2026	CURRENT_SUPPLIED	6-Aug-2026 NetDev meeting + clean MoM; Sinsen 11-Aug-2026 POS working snapshot for local execution	older H1-only TTM / screenshot-only reconstruction	Use Integrated TTM for current territory logic; mapping uses all POS, performance target uses Mega+Selected; formal later AHM guidance supersedes; local workbook does not prove submission acceptance
Market Info Tools weekly sensing	CURRENT_SUPPLIED_PARTIAL_MEETING	11-Aug-2026 Sinsen meeting transcript first 30 min + two screenshots	general market/ND Plan training material	Use for current rollout workflow only; full event history/taxonomy not supplied; later formal AHM guidance supersedes; access links/credentials excluded
