ROLLBACK_ID	TRIGGER	DETECTION_SIGNAL	PRECONDITION	ACTION	DATA_EFFECT	QUEUE_EFFECT	PENDING_STATE_EFFECT	REVIEW_QUEUE_EFFECT	ACCOUNT_LEDGER_EFFECT	AUDIT_CONTINUITY	DIRECT_ARFIN_FALLBACK_EFFECT	VERIFICATION	ESCALATION	THRESHOLD_VALUE	THRESHOLD_CLASSIFICATION	VALIDATION_MILESTONE	THRESHOLD_ID
RU-01	Schema migration failure	SIG-001 (MIGRATION_SCHEMA_ERROR)	Pre-deployment check	Abort migration; execute scoped table backout or PITR	Scoped table backout executed; unrelated Arfin data intact	Retain queue messages	Restored to pre-migration state	None	NONE	Preserved in external log store	Unimpaired	Scoped backout check PASS	Page Database Admin	1.0	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	M11	TR-001
RU-02	Adapter authentication error spike	SIG-002 (AUTH_FAILURE_RATE > 5%)	Adapter active	Rollback adapter binary to previous version	Zero data loss	Retain queue messages for retry	Unchanged	None	NONE	Audit log preserved	Unimpaired	Auth test suite PASS	Page Security Lead	5%	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M11_M12	TR-002
RU-03	Telegram gateway crash loop	SIG-001 (CRASH_COUNT > 3)	Gateway active	Stop gateway; disable getUpdates loop	Zero data loss	Pause message consumption; retain queue	Unchanged	None	NONE	Audit log preserved	Unimpaired	Process stability check	Page Infrastructure Lead	3 crashes / 5m	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M11_M12	TR-003
RU-04	Hermes worker un-redacted log alert	SIG-018 (REDACTION_FAILURE_ALERT)	Worker active	Immediately terminate worker process; rotate secrets	Zero data loss	Pause queue processing; retain queue	Unchanged	None	NONE	Audit log preserved; alert logged	Unimpaired	Log audit scanner PASS	Page Security Lead	1 failure	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	M11	TR-004
RU-05	Staging outage on Review Queue	SIG-006 (REVIEW_QUEUE_UNAVAILABLE)	Staging operation	Pause staging; fail closed with 503	Zero data loss	Retain messages in queue for reconciliation	Pending state ACTIVE (v1)	Retain STAGED items	NONE	Audit event logged	Unimpaired (Direct Arfin active)	Adapter health check PASS	Page Backend Lead	Queue outage	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	M11	N/A
RU-06	Idempotency store corruption	SIG-007 (IDEMPOTENCY_STORE_READ_ERROR)	Store active	Switch idempotency engine to read-only replica	Zero data loss	Pause new writes	Unchanged	None	NONE	Audit log preserved	Unimpaired	Store consistency check	Page Database Admin	Store read error	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	M11	N/A
RU-07	Canary error rate threshold exceeded	SIG-020 (CANARY_ERROR_RATE > 1%)	Stage 3 Canary	Abort canary; revert route to production baseline	Zero data loss	Retain canary queue messages	Canary pending items frozen	Retain STAGED items; reconcile	NONE	Canary audit log retained	Unimpaired	Baseline regression PASS	Page Release Manager	1%	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M12	TR-005
RU-08	Direct Arfin race conflict spike	SIG-013 (ARFIN_RACE_CONFLICT_RATE > 2%)	Bridge active	Pause bridge auto-staging; enforce manual review	Zero data loss	Queue held	Unchanged	STAGED items held	NONE	Audit log preserved	Unimpaired	Sync verification PASS	Page Product Owner	2%	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M11_M12	TR-006
RU-CONFIG	Configuration map or environment variable error	SIG-001 (CONFIG_LOAD_ERROR)	Startup or reload	Revert config map / env vars to previous known-good state	Zero data loss	Retain queue messages	Unchanged	None	NONE	Audit log preserved	Unimpaired	Config validation PASS	Page Infrastructure Lead	Config error	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	M11	N/A
RU-SECRET	Failed service-auth key rotation	SIG-002 (SECRET_ROTATION_FAILURE)	Key rotation	Maintain grace key K_PREVIOUS; execute RU-SECRET; fail closed if both invalid	Zero secret exposure	Retain queue messages	Unchanged	None	NONE	Security audit preserved	Unimpaired	Grace key test PASS	Page Security Lead	Rotation failure	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	M11	N/A
RU-PROD-ROUTE	Production route activation failure	SIG-019 (PROD_ROUTE_FAILURE)	Stage 4 Rollout	Revert production route to previous known-good baseline	Zero data loss	Retain queue & receipt records	Unchanged	STAGED items retained	NONE	Route audit preserved	Unimpaired	Route health check PASS	Page Release Manager	Route failure	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M12	N/A
