bundle	filename	sha256	units_type	units_total	authority_hint	coverage_status	currentness	semantic_duplicate_group	limitations
All.zip	8. Guidance VE to MD (Reg Meeting Feb 2024).pdf	735564a32b6e945ca96cc57c34d0bcb2f7b1d5ae4b31c5b11ea841137b5c9eab	pages	15	OPERATIONAL_REFERENCE	RECONSTRUCTED_WITH_LIMITATIONS	HISTORICAL_2024_LATEST_KPI_GUIDANCE		VE performance tables are reconstructed at system/KPI level, not row-perfect per Main Dealer.
All.zip	AHM-Showroom-I (1).pptx	bce552947a52be9b798be75beafb4e21ab81c494cd1e3d0f60207b03ea8d92f0	slides	28	OPERATIONAL_REFERENCE	RECONSTRUCTED_WITH_LIMITATIONS	DATE_UNCLEAR_HISTORICAL_PLATFORM_REFERENCE		Feature/customer-journey architecture reconstructed from actual slides; no reliable effective-date metadata in source content.
All.zip	Activity BTL.pdf	7a5e278800f4daea4f70deda6d5ecd1792bd03a42d941f8f02fa5631b49e76c7	pages	9	OPERATIONAL_REFERENCE	RECONSTRUCTED_TRUSTED	HISTORICAL_2023_ACTIVITY_REFERENCE		Text and visuals reviewed; dated sponsorship/KPI terms are historical, not 2026 current rules.
All.zip	COE VIRTUAL EXHIBITION 2022.pptx	4c09503fce8b125a2f3351d7dd636329a9f0d886d7954ec3bacf4738b04ce721	slides	1	OPERATIONAL_REFERENCE	RECONSTRUCTED_TRUSTED	HISTORICAL_2022_CALENDAR		Single-slide event calendar/FINCOY cadence reconstructed visually.
All.zip	Guidance VE to MD (Reg Meeting 18 - 19 July 2022).pdf	6207b87c4f10c3ddd89848e45b94ae1d69fa5c5c10a1d4474ee427d31fdad809	pages	11	OPERATIONAL_REFERENCE	RECONSTRUCTED_WITH_LIMITATIONS	HISTORICAL_2022_GUIDANCE		Lead-source/evaluation/product-launch guidance reconstructed; MD performance tables not row-perfect.
All.zip	Hasil Survei Pelanggan Virtual Exhibition (VE) 2025.pdf	5ffb37d226d6d2016aa7d5dbfb90fabd2dd3a84f845d68c1cad80920454cfaac	pages	9	OPERATIONAL_REFERENCE	RECONSTRUCTED_TRUSTED	LATEST_AVAILABLE_CUSTOMER_RESEARCH_2025		Survey counts and stated insights reconstructed; source contains some category totals that do not fully reconcile to n=124 and are preserved as reported.
All.zip	Penegasan Pelaksanaan Exhibition, Roadshow, & Showroom Event.pdf	0eeba2e7b1c67545b6c0af861594a9a4562a381a72a14cb0ef5e54cf48120786	pages	4	OPERATIONAL_REFERENCE	RECONSTRUCTED_TRUSTED	HISTORICAL_2022_BTL_POLICY		Execution standards, reporting, and historical New Normal clauses reconstructed from actual letter.
All.zip	Petunjuk Pelaksanaan Program Pameran dan Roadshow Periode Januari - April 2023 (2).pdf	03436d36c9f4d94dee1b83319f30db230e2dfc099905e067f5a30094f71eae96	pages	4	OPERATIONAL_REFERENCE	RECONSTRUCTED_TRUSTED	HISTORICAL_2023_SPONSORSHIP_POLICY		Program mechanics, event standards, LPJ, historical financial support and quota table reconstructed; monetary/tax/program terms are dated.
All.zip	SAFARI NOV 2022.pptx	538a988fc4bea841e998ffa10410e604b6a2092a92d6d33d553727591ea2669e	slides	30	OPERATIONAL_REFERENCE	RECONSTRUCTED_WITH_LIMITATIONS	HISTORICAL_2022_FINCOY_VE	SAFARI_NOV_2022_EXPORT_EQUIVALENT	Image-based deck reviewed visually; operational journey/rules reconstructed, not pixel-level transcription of every campaign screenshot.
All.zip	Survey VE 2025.pptx	5adc104dcf84b481595b0b9f2a483af59a6ae1523ade3d595016c879f0835259	slides	3	OPERATIONAL_REFERENCE	RECONSTRUCTED_TRUSTED	LATEST_AVAILABLE_VE_PROCESS_2025		NMS lead flow, chassis-number deal rule and survey collection guidance reconstructed from actual slides.
All.zip	VE SAFARI November 2022.pdf	52c8c999c3fe4d5ffbf051d8cdb982ee080567913d7e3be48f83758faef6b21b	pages	30	OPERATIONAL_REFERENCE	RECONSTRUCTED_WITH_LIMITATIONS	HISTORICAL_2022_FINCOY_VE_EXPORT_ALIAS	SAFARI_NOV_2022_EXPORT_EQUIVALENT	30-page image PDF visually matches SAFARI NOV 2022 deck as an export-equivalent source; retained for provenance, not counted as unique semantic content.
All.zip	Virtual Exhibition (+SAFARI) - April 2022.pdf	96cedd8f7cb384401afaa17459ef49838bd0cf6fd55a533c5c7805a39d444f01	pages	17	OPERATIONAL_REFERENCE	RECONSTRUCTED_WITH_LIMITATIONS	HISTORICAL_2022_VE_LEADS_POLICY		Lead taxonomy, deduplication, source-code flow and SLA reconstructed; historical performance tables not row-perfect.
