INCIDENT_ID	SEVERITY_CLASS	DETECTION_SIGNAL	AUTOMATIC_ACTION	MANUAL_ACTION	ROLLBACK_TRIGGER	OWNER_NOTIFICATION	DATA_PRESERVATION	DIRECT_ARFIN_FALLBACK	RECOVERY_VERIFICATION	CLOSE_CONDITION	THRESHOLD_VALUE	THRESHOLD_CLASSIFICATION	VALIDATION_MILESTONE	THRESHOLD_ID
INC-01	CRITICAL	SIG-019 (Duplicate getUpdates/webhook ownership)	Immediately halt Telegram Gateway loop	Verify single process ownership	GATEWAY_PROCESS_HALTED	Telegram alert to Owner	Audit log preserved	Unimpaired	Process audit PASS	Single process ownership proven	Duplicate ownership	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	M11	N/A
INC-02	CRITICAL	SIG-019 (Production webhook binding mismatch)	Block webhook execution; fail closed	Re-bind webhook to authorized URL	WEBHOOK_BLOCKED	Telegram alert to Owner	Audit log preserved	Unimpaired	Webhook verification PASS	Authorized binding confirmed	Binding mismatch	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	M11	N/A
INC-03	HIGH	SIG-003 (Owner allowlist rejection spike > 5/min)	Block unauthorized IPs/chats	Review access logs for attack	AUTH_SPIKE_ALERT	Telegram alert to Owner	Security audit log preserved	Unimpaired	Auth test suite PASS	Rejection rate < 1/hour	5/min	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M11_M12	TR-007
INC-04	HIGH	SIG-002 (Invalid service signature spike > 5/min)	Block offending key ID	Rotate service auth keys	KEY_BLOCKED	Telegram alert to Owner	Security audit log preserved	Unimpaired	Signature test suite PASS	Signature failure rate 0%	5/min	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M11_M12	TR-009
INC-05	CRITICAL	SIG-006 (Review Queue staging outage)	Switch adapter to 503 fail-closed mode	Restart Review Queue database	STAGING_OUTAGE_ALERT	Telegram alert to Owner	Queue items held in Hermes	Unimpaired (Direct Arfin active)	Database health check PASS	Staging success rate 100%	Database outage	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	M11	N/A
INC-06	HIGH	SIG-015 (Uncertain write result / adapter timeout)	Log event; enforce same-key retry	Reconcile receipt store	TIMEOUT_ALERT	None (Auto-reconciled)	Receipt store preserved	Unimpaired	Receipt lookup PASS	Timeout rate < 0.1%	Adapter timeout	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M11_M12	TR-023
INC-07	MEDIUM	SIG-008 (Duplicate staging attempt blocked)	Reject duplicate; return cached receipt	None (Normal idempotency guard)	NONE	None	Duplicate attempt logged	Unimpaired	Idempotency test PASS	Normal operation	Duplicate attempt	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	M11	N/A
INC-08	MEDIUM	SIG-005 (Stale version reply spike > 3/min)	Return 409 Conflict to client	Check for concurrent Arfin usage	NONE	Prompt user to refresh list	Conflict event logged	Unimpaired	Version check PASS	Stale rate < 1/hour	3/min	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M11_M12	TR-012
INC-09	MEDIUM	SIG-011 (Unresolved backlog size > 50 items)	Trigger backlog summary prompt	Review expired backlog in UI	NONE	Weekly backlog summary	Backlog store intact	Unimpaired	Backlog count check PASS	Backlog processed by Owner	50 items	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M11_M12	TR-013
INC-10	HIGH	SIG-012 (Multiple active cycles detected for root)	Block new cycle creation; fail closed	Resolve open active cycles	CYCLE_CONFLICT_ALERT	Telegram alert to Owner	Lineage record preserved	Unimpaired	Lineage integrity PASS	Single active cycle verified	1 active cycle	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	M11	TR-011
INC-11	HIGH	SIG-014 (Queue replay anomaly > 3 times)	Acknowledge queue msg; suppress duplicate	Inspect Hermes queue consumer	QUEUE_REPLAY_ALERT	None	Queue audit log preserved	Unimpaired	Queue consumer test PASS	Replay count 0	3 times	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M11_M12	TR-014
INC-12	CRITICAL	SIG-018 (Audit logging or redaction failure)	Terminate emitting process immediately	Fix log pipe / secret redaction filter	LOG_REDACTION_HALT	Telegram alert to Owner	Prevent raw log write	Unimpaired	Log scanner test PASS	Redaction filter 100% PASS	Redaction failure	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	M11	N/A
INC-13	HIGH	SIG-013 (Direct Arfin coherence conflict)	Reject Earesmes reply; defer to Arfin	None (Arfin authority preserved)	NONE	Notify user item resolved in Arfin	Coherence event logged	Unimpaired	Coherence test PASS	Arfin state authoritative	Coherence conflict	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	M11	N/A
INC-14	CRITICAL	SIG-017 (Ledger post result mismatch)	Freeze affected account review queue	Audit account ledger entries	LEDGER_MISMATCH_HALT	Telegram alert to Owner	Ledger audit log preserved	Unimpaired	Ledger reconciliation PASS	Ledger balance verified	Posting mismatch	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	M11	N/A
INC-15	HIGH	SIG-020 (Canary regression error rate > 1%)	Abort canary; revert route to baseline	Investigate canary failure logs	CANARY_ABORT_TRIGGERED	Telegram alert to Owner	Canary log preserved	Unimpaired	Baseline regression PASS	Canary error rate 0%	1%	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M12	TR-005
INC-16	HIGH	SIG-002 (Secret rotation failure)	Maintain grace key K_PREVIOUS; execute RU-SECRET	Re-issue new secret K_CURRENT	KEY_ROTATION_HALT	Alert Infrastructure Admin	Security audit log preserved	Unimpaired	Key rotation test PASS	New key active	Rotation failure	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	M11	N/A
