relative_source_path	artifact_kind	program_family	effective_start	effective_end	period_basis	revision_flag	invalid_flag	canonical_use	currentness_note
2026/1. Jan/1. PL SMH 1 periode 1-31 Januari 2026.jpg	PRICE_LIST_PRESENTATION	SMH	2026-01-01	2026-01-31	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan/1. PL SMH 2 periode 1-31 Januari 2026.jpg	PRICE_LIST_PRESENTATION	SMH	2026-01-01	2026-01-31	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan/1. PL SMH periode 1-31 Januari 2026.xlsx	PRICE_LIST_STRUCTURED	SMH	2026-01-01	2026-01-31	FILENAME_EXPLICIT	NO	NO	PREFER_STRUCTURED_XLSX_FOR_NUMBERS	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan/2. PL SMH Accessories periode 1-31 Januari 2026.jpg	PRICE_LIST_PRESENTATION	SMH_ACCESSORIES	2026-01-01	2026-01-31	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan/2. PL SMH Accessories periode 1-31 Januari 2026.xlsx	PRICE_LIST_STRUCTURED	SMH_ACCESSORIES	2026-01-01	2026-01-31	FILENAME_EXPLICIT	NO	NO	PREFER_STRUCTURED_XLSX_FOR_NUMBERS	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan/3. PL Premium 1 periode 1-31 Januari 2026.jpg	PRICE_LIST_PRESENTATION	PREMIUM	2026-01-01	2026-01-31	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan/3. PL Premium 2 periode 1-31 Januari 2026.jpg	PRICE_LIST_PRESENTATION	PREMIUM	2026-01-01	2026-01-31	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan/3. PL Premium periode 1-31 Januari 2026.xlsx	PRICE_LIST_STRUCTURED	PREMIUM	2026-01-01	2026-01-31	FILENAME_EXPLICIT	NO	NO	PREFER_STRUCTURED_XLSX_FOR_NUMBERS	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan/4. PL Run Out Periode 1-31 Januari 2026.jpg	PRICE_LIST_PRESENTATION	RUN_OUT	2026-01-01	2026-01-31	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan/4. PL Run Out Periode 1-31 Januari 2026.xlsx	PRICE_LIST_STRUCTURED	RUN_OUT	2026-01-01	2026-01-31	FILENAME_EXPLICIT	NO	NO	PREFER_STRUCTURED_XLSX_FOR_NUMBERS	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan/5. PL EV periode 1-31 Januari 2026.jpg	PRICE_LIST_PRESENTATION	EV	2026-01-01	2026-01-31	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan/5. PL EV periode 1-31 Januari 2026.xlsx	PRICE_LIST_STRUCTURED	EV	2026-01-01	2026-01-31	FILENAME_EXPLICIT	NO	NO	PREFER_STRUCTURED_XLSX_FOR_NUMBERS	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan/6. PL Khusus EM1 reguler periode 1-31 Januari 2026.jpg	PRICE_LIST_PRESENTATION	EM1	2026-01-01	2026-01-31	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan/6. PL Khusus EM1 reguler periode 1-31 Januari 2026.xlsx	PRICE_LIST_STRUCTURED	EM1	2026-01-01	2026-01-31	FILENAME_EXPLICIT	NO	NO	PREFER_STRUCTURED_XLSX_FOR_NUMBERS	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan/7. PL New Vario 125 Series Periode 1-31 Januari 2026.jpg	PRICE_LIST_PRESENTATION	VARIO	2026-01-01	2026-01-31	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan/7. PL New Vario 125 Series Periode 1-31 Januari 2026.xlsx	PRICE_LIST_STRUCTURED	VARIO	2026-01-01	2026-01-31	FILENAME_EXPLICIT	NO	NO	PREFER_STRUCTURED_XLSX_FOR_NUMBERS	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan/8. MSW (Marketing Secret Weapon) periode 1-31 Januari 2026.jpeg	MSW_VISUAL_SUMMARY	MSW_SUMMARY	2026-01-01	2026-01-31	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan/Revisi/1. Update PL SMH 1 periode 3-31 Januari 2026.jpg	PRICE_LIST_PRESENTATION	SMH	2026-01-03	2026-01-31	FILENAME_EXPLICIT	YES	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan/Revisi/1. Update PL SMH 2 periode 3-31 Januari 2026.jpg	PRICE_LIST_PRESENTATION	SMH	2026-01-03	2026-01-31	FILENAME_EXPLICIT	YES	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan/Revisi/1. Update PL SMH periode 3-31 Januari 2026.xlsx	PRICE_LIST_STRUCTURED	SMH	2026-01-03	2026-01-31	FILENAME_EXPLICIT	YES	NO	PREFER_STRUCTURED_XLSX_FOR_NUMBERS	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan/Revisi/2. Update PL SMH Accessories periode 3-31 Januari 2026.jpg	PRICE_LIST_PRESENTATION	SMH_ACCESSORIES	2026-01-03	2026-01-31	FILENAME_EXPLICIT	YES	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan/Revisi/2. Update PL SMH Accessories periode 3-31 Januari 2026.xlsx	PRICE_LIST_STRUCTURED	SMH_ACCESSORIES	2026-01-03	2026-01-31	FILENAME_EXPLICIT	YES	NO	PREFER_STRUCTURED_XLSX_FOR_NUMBERS	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan/Revisi/3. Update PL Premium 1 periode 3-31 Januari 2026.jpg	PRICE_LIST_PRESENTATION	PREMIUM	2026-01-03	2026-01-31	FILENAME_EXPLICIT	YES	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan/Revisi/3. Update PL Premium 2 periode 3-31 Januari 2026.jpg	PRICE_LIST_PRESENTATION	PREMIUM	2026-01-03	2026-01-31	FILENAME_EXPLICIT	YES	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
