workbook	sheet	physical_row	item	sub_item_1	sub_item_2	indicator	mandatory_source	mandatory_normalized	item_source_ref	item_source_kind	sub1_source_ref	sub1_source_kind	sub2_source_ref	sub2_source_kind	indicator_source_ref	mandatory_source_ref	mandatory_source_kind
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	4	Kebersihan Network		Exterior	"Exterior dalam keadaan: Bersih (dibersihkan 1 tahun sekali - bukti ditunjukan) , Rapih & Tidak Rusak.
Exterior terdiri dari: Fascia, Pylon / Projecting Sign, Window Display, Louver, dan Kanopi

Kiriteria PENGECATAN dinding Exterior (mana yang tercapai lebih dulu):
1. Pengecatan 3 tahun sekali (bukti ditunjukan) - Jika tidak ada temuaan anomali kondisi
2. Jika ditemukan kondisi anomali perlu segera diperbaiki

*PENGECATAN: ditemukan kondisi cat Exterior kotor & pudar
*KEBERSIHAN: ditemukan kondisi kotor yang bukan akibat dari proses waktu (kebocoran , sarang binatang, lumpur, jejak sepatu) maka harus segera dibersihkan tanpa menunggu jadwal rutin pembersihan
*BUKTI PEMBERSIHAN: 
 - Bila menggunakan Vendor maka  Bukti Pembersihan berupa Kwitansi dan Dokumentasi dengan tanggal
 - Bila dilakukan oleh Dealer sendiri maka Bukti Pembersihan berupa Dokumentasi dengan tanggal"	S G P	S G P	B4	DIRECT	C4	SOURCE_BLANK	D4	DIRECT	E4	F4	DIRECT
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	5	Kebersihan Network		Interior	"Kebersihan Interior :
- Dinding Interior
      - Kiriteria PENGECATAN (mana yang tercapai lebih dulu):
           1. Pengecatan 3 tahun sekali (bukti ditunjukan) - Jika tidak ada temuaan anomali kondisi
           2. Jika ditemukan kondisi anomali perlu segera diperbaiki
      - Bersih dari sarang binatang 
*PENGECATAN: ditemukan kondisi cat Interior kotor & pudar
*KEBERSIHAN: *KEBERSIHAN: ditemukan kondisi kotor yang bukan akibat dari proses waktu (kebocoran , sarang binatang, lumpur, jejak sepatu) maka harus segera dibersihkan tanpa menunggu jadwal rutin pembersihan
*BUKTI PEMBERSIHAN: 
 - Bila menggunakan Vendor maka  Bukti Pembersihan berupa Kwitansi dan Dokumentasi dengan tanggal
 - Bila dilakukan oleh Dealer sendiri maka Bukti Pembersihan berupa Dokumentasi dengan tanggal

- Lantai, Toilet, Furniture Standar Item dalam keadaan bersih & wangi (dibersihkan setiap hari)"	S G P	S G P	B5	DIRECT	C5	SOURCE_BLANK	D5	DIRECT	E5	F5	DIRECT
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	6	Kebersihan Network		Checklist Kebersihan Atribut	"1. Terdapat checklist kebersihan untuk unit display, HRT, accessories, apparel, dll
2. Terdapat kolom checklist kebersihan minimal pada jam 07.30, 12.00, 15.00
3. Dilakukan oleh Kacab/PIC terkait untuk pengecekan kebersihan (termasuk cairan pembersih dan wiping tools riding test)
4. Disimpan ruang Kacab"			B6	DIRECT	C6	SOURCE_BLANK	D6	DIRECT	E6	F6	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	7	Approval Layout New VinCi		Eksterior	"1. Sesuai dengan gambar tampak depan yang sudah diapprove bersama
2. Gambar eksterior yang sudah diapproved, dicetak, ditempel di ruang Kacab"	G P	G P	B7	DIRECT	C7	SOURCE_BLANK	D7	DIRECT	E7	F7	DIRECT
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	8	Approval Layout New VinCi		Interior	"1. Area / Zoning Showroom sesuai dengan gambar yang sudah diapprove bersama : 
Item Interior yang ada di gambar approval berada didalam showroom dan digunakan sesuai fungsinya, khususnya:
    - Sales & Finance Front Desk 
    - Negotiation Table  minimal sejumlah yang ada didalam gambar approval
    - Khusus Wing Dealer maka Posisi Wing Corner harus sesuai dengan gambar approval dan Item Interior yang ada didalam Wing Corner harus sesuai dan tidak boleh dipindahkan , terkecuali meja negosiasi bila harus digantikan oleh unit motor
2. Area / Zoning HUB / PENGHUBUNG sesuai dengan gambar yang sudah diapprove bersama : 
a. Ruang Tunggu 
     - Posisi dan Fungsinya sesuai dengan gambar interior yang sudah diapprove bersama
b. Kasir
    - Posisi dan Fungsinya sesuai dengan gambar interior yang sudah diapprove bersama
3.Area / Zoning  H3 sesuai dengan gambar yang sudah diapprove bersama (4 Ruko)
4. Area / Zoning  H2 sesuai dengan gambar yang sudah diapprove bersama
5. Gambar interior yang sudah diapproved, dicetak, ditempel di ruang Kacab"	G P	G P	B8	DIRECT	C8	SOURCE_BLANK	D8	DIRECT	E8	F8	DIRECT
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	9	Eksterior		"- Fascia
- Pylon (hanya untuk halaman 5 mtr)
- Projecting Sign (New VinCi tanpa halaman > 5 m)
- EV Signage"	"1. Dalam keadaan rapih
2. Untuk logo Honda,detail tulisan penjualan,pemeliharaan,suku cadang tidak terhalangi dan dapat dilihat dan dibaca oleh pengguna jalan dari dua sisi
3. Lampu menyala pada pukul 18:00 - 20:00 
4. Dalam Keadaan Bersih
5. Dalam Keadaan Rapih dan Tidak Rusak
6. Peletakan sesuai dengan denah yang sudah disepakati bersama
7. Jika terdapat lampu yang mati harus segera diperbaiki"			B9	DIRECT	C9	SOURCE_BLANK	D9	DIRECT	E9	F9	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	10	Eksterior		"- Canopy (Nice to have)
- Kisi-Kisi Alumunium / Louvre (New VinCi)"	"1. Dalam Keadaan Bersih
2. Dalam Keadaan Rapih dan Tidak Rusak

Dapat memilih N/A dengan melampirkan surat tertulis penundaan investasi dari MD ke AHM
*) Sesuai dengan tampak depan yang sudah diapprove bersama"			B10	DIRECT	C10	SOURCE_BLANK	D10	DIRECT	E10	F10	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	11	Eksterior		Big Wing & Wing Signage	"1. Dalam Keadaan Bersih
2. Dalam Keadaan Rapih dan Tidak Rusak
3. Tidak terhalangi dan dibaca oleh pengguna jalan
4. Lampu menyala pada pukul 18:00 - 20:00 "			B11	DIRECT	C11	SOURCE_BLANK	D11	DIRECT	E11	F11	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	12	Eksterior		"Window Display
(New VinCi) 
"	"1. Dalam Keadaan Bersih
2. Dalam Keadaan Rapih dan Tidak Rusak
3. Display motor terlihat jelas 
4. Lampu menyala pada pukul 18:00 - 20:00 
5. 1 Ruko = 4m diisi 1 motor dan 1 roller banner 

Dapat memilih N/A dengan melampirkan surat tertulis penundaan investasi dari MD ke AHM
*) Posisi Sesuai dengan tampak depan yang sudah diapprove bersama"			B12	DIRECT	C12	SOURCE_BLANK	D12	DIRECT	E12	F12	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	13	Eksterior		Operational hour	"1. Dapat terlihat jelas oleh konsumen dari jalan raya baik dalam kondisi dealer buka maupun tutup
2. Berinformasikan : Hari & Jam operational Showroom dan AHASS
3. Dapat berupa sticker di kaca,banner,running text,spanduk (bukan berupa print di kertas A4) untuk bentuk banner atau spanduk penempatan diletakan di area yang terlihat kosumen dan tidak mengambil titik penempatan spanduk yang lain 
"	S G P	S G P	B13	DIRECT	C13	SOURCE_BLANK	D13	DIRECT	E13	F13	DIRECT
