THRESHOLD_ID	PARAMETER_NAME	VALUE	UNIT	USED_BY_ARTIFACT	USED_BY_ROW_OR_STAGE	PURPOSE	THRESHOLD_CLASSIFICATION	VALIDATION_MILESTONE	RUNTIME_VALIDATION_STATUS	CANONICAL_SOURCE
TR-001	MIGRATION_SCHEMA_MATCH	1.0	Version string	ROLLBACK_TRIGGER_MATRIX.tsv	RU-01	Migration schema version match requirement	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	M11	NOT_YET_VALIDATED	G1_4_DESIGN_LOCK
TR-002	AUTH_FAILURE_RATE_THRESHOLD	5	Percent	ROLLBACK_TRIGGER_MATRIX.tsv	RU-02	Adapter auth failure spike trigger	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M11_M12	NOT_YET_VALIDATED	N/A
TR-003	GATEWAY_CRASH_LIMIT	3	Crashes per 5 minutes	ROLLBACK_TRIGGER_MATRIX.tsv	RU-03	Gateway process crash loop threshold	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M11_M12	NOT_YET_VALIDATED	N/A
TR-004	REDACTION_FAILURE_LIMIT	1	Failure count	ROLLBACK_TRIGGER_MATRIX.tsv	RU-04	Hermes un-redacted log alert trigger	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	M11	NOT_YET_VALIDATED	G1_4_DESIGN_LOCK
TR-005	CANARY_ERROR_RATE_THRESHOLD	1	Percent	ROLLBACK_TRIGGER_MATRIX.tsv	RU-07	Canary error rate abort threshold	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M12	NOT_YET_VALIDATED	N/A
TR-006	ARFIN_RACE_CONFLICT_RATE	2	Percent	ROLLBACK_TRIGGER_MATRIX.tsv	RU-08	Direct Arfin race conflict spike threshold	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M11_M12	NOT_YET_VALIDATED	N/A
TR-007	ALLOWLIST_REJECTION_SPIKE_TRIGGER	5	Rejections per minute	ALERTING_AND_INCIDENT_RESPONSE_MATRIX.tsv	INC-03	Owner allowlist rejection spike alert trigger	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M11_M12	NOT_YET_VALIDATED	N/A
TR-008	ALLOWLIST_REJECTION_CLOSE_RATE	1	Rejection per hour	ALERTING_AND_INCIDENT_RESPONSE_MATRIX.tsv	INC-03	Owner allowlist rejection close condition rate	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M11_M12	NOT_YET_VALIDATED	N/A
TR-009	INVALID_SIGNATURE_SPIKE_TRIGGER	5	Rejections per minute	ALERTING_AND_INCIDENT_RESPONSE_MATRIX.tsv	INC-04	Invalid service signature spike trigger	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M11_M12	NOT_YET_VALIDATED	N/A
TR-010	INVALID_SIGNATURE_CLOSE_RATE	0	Percent failure	ALERTING_AND_INCIDENT_RESPONSE_MATRIX.tsv	INC-04	Invalid service signature incident close condition	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	M11	NOT_YET_VALIDATED	G1_2_SCOPE_LOCK
TR-011	MAX_ACTIVE_CYCLES_PER_ROOT	1	Active cycle	ALERTING_AND_INCIDENT_RESPONSE_MATRIX.tsv	INC-10	Maximum allowed active cycles per root record	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	M11	NOT_YET_VALIDATED	G1_3_SCOPE_LOCK
TR-012	STALE_VERSION_SPIKE_TRIGGER	3	Conflicts per minute	ALERTING_AND_INCIDENT_RESPONSE_MATRIX.tsv	INC-08	Stale version reply spike trigger	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M11_M12	NOT_YET_VALIDATED	N/A
TR-013	UNRESOLVED_BACKLOG_LIMIT	50	Items	ALERTING_AND_INCIDENT_RESPONSE_MATRIX.tsv	INC-09	Unresolved backlog prompt trigger	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M11_M12	NOT_YET_VALIDATED	N/A
TR-014	QUEUE_REPLAY_ANOMALY_LIMIT	3	Replay count	ALERTING_AND_INCIDENT_RESPONSE_MATRIX.tsv	INC-11	Queue replay anomaly threshold	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M11_M12	NOT_YET_VALIDATED	N/A
TR-015	STAGE_0_TEST_PASS_RATE	100	Percent	CANARY_AND_ROLLOUT_PLAN.md	Stage 0	Offline test pass rate success criteria	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	M10	NOT_YET_VALIDATED	G1_4_DESIGN_LOCK
TR-016	STAGE_1_DRY_RUN_ERRORS	0	Errors	CANARY_AND_ROLLOUT_PLAN.md	Stage 1	Integration dry-run error limit	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M11	NOT_YET_VALIDATED	N/A
TR-017	STAGE_2_SHADOW_AUTH_LIMIT	1	Percent	CANARY_AND_ROLLOUT_PLAN.md	Stage 2	Shadow mode auth error limit	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M11	NOT_YET_VALIDATED	N/A
TR-018	STAGE_3_CANARY_ERROR_LIMIT	1	Percent	CANARY_AND_ROLLOUT_PLAN.md	Stage 3	Stage 3 live canary error limit	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M12	NOT_YET_VALIDATED	N/A
TR-019	STAGE_4_PROD_SUCCESS_RATE	0.1	Percent error	CANARY_AND_ROLLOUT_PLAN.md	Stage 4	Production rollout success error rate limit	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M12	NOT_YET_VALIDATED	N/A
TR-020	STAGE_4_PROD_ABORT_RATE	0.5	Percent error	CANARY_AND_ROLLOUT_PLAN.md	Stage 4	Production rollout abort error rate limit	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M12	NOT_YET_VALIDATED	N/A
TR-021	EAB_SERVICE_SECRET_ROTATION_DAYS	90	Days	CONFIGURATION_AND_SECRET_READINESS.tsv	CFG-01	Service secret rotation schedule	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	M11	NOT_YET_VALIDATED	N/A
