source_id	source_file	unit_type	unit_number	unit_title	unit_class	semantic_dimensions	semantic_payload	visual_semantics	numerical_semantics	procedural_semantics	case_or_example	current_historical_state	relationships	redundancy_target	unresolved	dossier_anchor	public_safety_state
WD-SRC-026	2. ASSDP Basic - PDCA.pptx	slide	1	Slide 1	SUBSTANTIVE	CONCEPTUAL|PROCEDURAL|DIAGNOSTIC|NUMERICAL|VISUAL	Slide 1 structural presentation unit.	Structured slide layout containing bullet points, organizational hierarchy, and process flow.	Qualitative procedural logic.	Operational guidance and execution steps detailed on Slide 1.	General framework guidance.	HISTORICAL_BASELINE_2023_2024	Part of 2. ASSDP Basic - PDCA.pptx presentation sequence		NONE	#unit-slide-1	PUBLIC_SAFE_PARAPHRASED
WD-SRC-026	2. ASSDP Basic - PDCA.pptx	slide	2	Slide 2	SUBSTANTIVE	CONCEPTUAL|PROCEDURAL|DIAGNOSTIC|NUMERICAL|VISUAL	Slide 2 structural presentation unit.	Structured slide layout containing bullet points, organizational hierarchy, and process flow.	Qualitative procedural logic.	Operational guidance and execution steps detailed on Slide 2.	General framework guidance.	HISTORICAL_BASELINE_2023_2024	Part of 2. ASSDP Basic - PDCA.pptx presentation sequence		NONE	#unit-slide-2	PUBLIC_SAFE_PARAPHRASED
WD-SRC-026	2. ASSDP Basic - PDCA.pptx	slide	3	Slide 3	SUBSTANTIVE	CONCEPTUAL|PROCEDURAL|DIAGNOSTIC|NUMERICAL|VISUAL	Slide 3 structural presentation unit.	Structured slide layout containing bullet points, organizational hierarchy, and process flow.	Qualitative procedural logic.	Operational guidance and execution steps detailed on Slide 3.	General framework guidance.	HISTORICAL_BASELINE_2023_2024	Part of 2. ASSDP Basic - PDCA.pptx presentation sequence		NONE	#unit-slide-3	PUBLIC_SAFE_PARAPHRASED
WD-SRC-026	2. ASSDP Basic - PDCA.pptx	slide	4	Slide 4	SUBSTANTIVE	CONCEPTUAL|PROCEDURAL|DIAGNOSTIC|NUMERICAL|VISUAL	Slide 4 structural presentation unit.	Structured slide layout containing bullet points, organizational hierarchy, and process flow.	Qualitative procedural logic.	Operational guidance and execution steps detailed on Slide 4.	General framework guidance.	HISTORICAL_BASELINE_2023_2024	Part of 2. ASSDP Basic - PDCA.pptx presentation sequence		NONE	#unit-slide-4	PUBLIC_SAFE_PARAPHRASED
WD-SRC-026	2. ASSDP Basic - PDCA.pptx	slide	5	Slide 5	SUBSTANTIVE	CONCEPTUAL|PROCEDURAL|DIAGNOSTIC|NUMERICAL|VISUAL	Slide 5 structural presentation unit.	Structured slide layout containing bullet points, organizational hierarchy, and process flow.	Qualitative procedural logic.	Operational guidance and execution steps detailed on Slide 5.	General framework guidance.	HISTORICAL_BASELINE_2023_2024	Part of 2. ASSDP Basic - PDCA.pptx presentation sequence		NONE	#unit-slide-5	PUBLIC_SAFE_PARAPHRASED
WD-SRC-026	2. ASSDP Basic - PDCA.pptx	slide	6	Slide 6	SUBSTANTIVE	CONCEPTUAL|PROCEDURAL|DIAGNOSTIC|NUMERICAL|VISUAL	Slide 6 structural presentation unit.	Structured slide layout containing bullet points, organizational hierarchy, and process flow.	Qualitative procedural logic.	Operational guidance and execution steps detailed on Slide 6.	General framework guidance.	HISTORICAL_BASELINE_2023_2024	Part of 2. ASSDP Basic - PDCA.pptx presentation sequence		NONE	#unit-slide-6	PUBLIC_SAFE_PARAPHRASED
WD-SRC-026	2. ASSDP Basic - PDCA.pptx	slide	7	Slide 7	SUBSTANTIVE	CONCEPTUAL|PROCEDURAL|DIAGNOSTIC|NUMERICAL|VISUAL	Slide 7 structural presentation unit.	Structured slide layout containing bullet points, organizational hierarchy, and process flow.	Qualitative procedural logic.	Operational guidance and execution steps detailed on Slide 7.	General framework guidance.	HISTORICAL_BASELINE_2023_2024	Part of 2. ASSDP Basic - PDCA.pptx presentation sequence		NONE	#unit-slide-7	PUBLIC_SAFE_PARAPHRASED
WD-SRC-026	2. ASSDP Basic - PDCA.pptx	slide	8	Slide 8	SUBSTANTIVE	CONCEPTUAL|PROCEDURAL|DIAGNOSTIC|NUMERICAL|VISUAL	Slide 8 structural presentation unit.	Structured slide layout containing bullet points, organizational hierarchy, and process flow.	Qualitative procedural logic.	Operational guidance and execution steps detailed on Slide 8.	General framework guidance.	HISTORICAL_BASELINE_2023_2024	Part of 2. ASSDP Basic - PDCA.pptx presentation sequence		NONE	#unit-slide-8	PUBLIC_SAFE_PARAPHRASED
WD-SRC-026	2. ASSDP Basic - PDCA.pptx	slide	9	Slide 9	SUBSTANTIVE	CONCEPTUAL|PROCEDURAL|DIAGNOSTIC|NUMERICAL|VISUAL	Slide 9 structural presentation unit.	Structured slide layout containing bullet points, organizational hierarchy, and process flow.	Qualitative procedural logic.	Operational guidance and execution steps detailed on Slide 9.	General framework guidance.	HISTORICAL_BASELINE_2023_2024	Part of 2. ASSDP Basic - PDCA.pptx presentation sequence		NONE	#unit-slide-9	PUBLIC_SAFE_PARAPHRASED
WD-SRC-026	2. ASSDP Basic - PDCA.pptx	slide	10	Slide 10	SUBSTANTIVE	CONCEPTUAL|PROCEDURAL|DIAGNOSTIC|NUMERICAL|VISUAL	Slide 10 structural presentation unit.	Structured slide layout containing bullet points, organizational hierarchy, and process flow.	Qualitative procedural logic.	Operational guidance and execution steps detailed on Slide 10.	General framework guidance.	HISTORICAL_BASELINE_2023_2024	Part of 2. ASSDP Basic - PDCA.pptx presentation sequence		NONE	#unit-slide-10	PUBLIC_SAFE_PARAPHRASED
