id	domain	original_source	source_unit	claim_paraphrase	original_binary_check	reconstructed_evidence	brain_trace_check	overall
S01	B	7. Demand Management _ Recovery Rate.pptx	slide 9	Forecast is modeled as Pattern + Unexplained	PASS	/mnt/data/_reconcile/BASE/v11/AIRO_WorkDesk_v1_1_Candidate_20260810_BUILD/SEMANTIC_CORE/batch02_semantic_core/01_SOURCE_DOSSIERS/WD-SRC-028__DEMAND_MANAGEMENT.md	PASS	PASS
S02	C	3-6. ASSDP Breakdown target...pptx	slide 24	Dealer Review is a strategy diary, not just visit preparation	PASS	/mnt/data/_reconcile/BASE/v11/AIRO_WorkDesk_v1_1_Candidate_20260810_BUILD/SEMANTIC_CORE/batch02_semantic_core/01_SOURCE_DOSSIERS/WD-SRC-027__TARGET_DEPLOYMENT_DEALER_REVIEW.md	PASS	PASS
S03	B	3-6. ASSDP Breakdown target...pptx	slide 16	Target is broken down to sales force and monitored by Kacab	PASS	/mnt/data/_reconcile/BASE/v11/AIRO_WorkDesk_v1_1_Candidate_20260810_BUILD/SEMANTIC_CORE/batch02_semantic_core/01_SOURCE_DOSSIERS/WD-SRC-027__TARGET_DEPLOYMENT_DEALER_REVIEW.md	PASS	PASS
S04	C	15. TTM ASSDP.pptx	slides 8–12	Territory management uses Ring/kecamatan mapping and dealer target ownership	PASS	/mnt/data/_reconcile/AIRO_WorkDesk_Semantic_Reconstruction_Batch03_20260810/AIRO_WorkDesk_Semantic_Reconstruction_Batch03_20260810/02_DOMAIN_KNOWLEDGE/NETWORK_TERRITORY_SUSTAINABILITY_OPERATING_SYSTEM.md	PASS	PASS
S05	F	12. PICA.pptx	slide 6	Problem localization can decompose MD→Kabupaten→Dealer→Type / product-led variants	PASS	/mnt/data/_reconcile/BASE/v1/AIRO_WorkDesk_v1_Candidate_20260810/SEMANTIC_CORE/batch01_semantic_core/02_DOMAIN_KNOWLEDGE/BATCH01__SUPERVISORY_MONITORING_TO_CORRECTIVE_ACTION.md	PASS	PASS
S06	B	10. Sales _ Stock Monitoring per Dealer.pptx	slides 7, 9–10	Sales/stock analysis drills through Kabupaten→Dealer→Series	PASS	/mnt/data/_reconcile/BASE/v1/AIRO_WorkDesk_v1_Candidate_20260810/SEMANTIC_CORE/batch01_semantic_core/02_DOMAIN_KNOWLEDGE/BATCH01__SUPERVISORY_MONITORING_TO_CORRECTIVE_ACTION.md	PASS	PASS
S07	B	11. Analisa Pricing _ FID-BA.pptx	slides 3–4	DP Real = DP Pricelist − Discount	PASS	/mnt/data/_reconcile/BASE/v1/AIRO_WorkDesk_v1_Candidate_20260810/SEMANTIC_CORE/batch01_semantic_core/03_REFERENCE_LIBRARIES/METRIC_FORMULA_LIBRARY_BATCH01.md	PASS	PASS
S08	C	11. Analisa Pricing _ FID-BA.pptx	slide 14	FID/BA analysis is segmented by finance company / series / dealer	PASS	/mnt/data/_reconcile/BASE/v1/AIRO_WorkDesk_v1_Candidate_20260810/SEMANTIC_CORE/batch01_semantic_core/01_SOURCE_DOSSIERS/WD-SRC-019__11_Analisa_Pricing_FID_BA.md	PASS	PASS
S09	E	HC3_Workshop CRM (4 Sep 2024) (1).pptx	slide 3	CDB quality uses Correct / Complete / Clean	PASS	/mnt/data/_reconcile/AIRO_WorkDesk_Semantic_Reconstruction_Batch07_CRM_Customer_ProblemSolving_Cases_20260810/AIRO_WorkDesk_Semantic_Reconstruction_Batch07_CRM_Customer_ProblemSolving_Cases_20260810/02_DOMAIN_KNOWLEDGE/CRM_CUSTOMER_INTELLIGENCE_OPERATING_SYSTEM.md	PASS	PASS
S10	E	HC3_Workshop CRM (4 Sep 2024) (1).pptx	slide 9	Lead monitoring includes Contacted Rate and Success Rate	PASS	/mnt/data/_reconcile/AIRO_WorkDesk_Semantic_Reconstruction_Batch07_CRM_Customer_ProblemSolving_Cases_20260810/AIRO_WorkDesk_Semantic_Reconstruction_Batch07_CRM_Customer_ProblemSolving_Cases_20260810/02_DOMAIN_KNOWLEDGE/LEADS_MANAGEMENT_END_TO_END.md	PASS	PASS
