bundle	filename	units_type	units_total	authority_hint	coverage_status	reconstruction_batch	limitation_categories	limitations
All.zip	08) Juklak Pemakaian Seragam FLP.pdf	pages	2	OPERATIONAL_REFERENCE	RECONSTRUCTED_TRUSTED	BATCH09		2025 instruction reconstructed directly. Treat as latest supplied FLP uniform guidance, not independently confirmed as still-current in 2026.
All.zip	8. Guidance VE to MD (Reg Meeting Feb 2024).pdf	pages	15	OPERATIONAL_REFERENCE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH06	FINE_GRAIN_VISUAL_OR_TABLE_NOT_ROW_PERFECT	VE performance tables are reconstructed at system/KPI level, not row-perfect per Main Dealer.
All.zip	AHM-Showroom-I (1).pptx	slides	28	OPERATIONAL_REFERENCE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH06	OTHER_BOUNDED_LIMITATION	Feature/customer-journey architecture reconstructed from actual slides; no reliable effective-date metadata in source content.
All.zip	Activity BTL.pdf	pages	9	OPERATIONAL_REFERENCE	RECONSTRUCTED_TRUSTED	BATCH06		Text and visuals reviewed; dated sponsorship/KPI terms are historical, not 2026 current rules.
All.zip	COE VIRTUAL EXHIBITION 2022.pptx	slides	1	OPERATIONAL_REFERENCE	RECONSTRUCTED_TRUSTED	BATCH06		Single-slide event calendar/FINCOY cadence reconstructed visually.
All.zip	Guidance VE to MD (Reg Meeting 18 - 19 July 2022).pdf	pages	11	OPERATIONAL_REFERENCE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH06	FINE_GRAIN_VISUAL_OR_TABLE_NOT_ROW_PERFECT	Lead-source/evaluation/product-launch guidance reconstructed; MD performance tables not row-perfect.
All.zip	Hasil Survei Pelanggan Virtual Exhibition (VE) 2025.pdf	pages	9	OPERATIONAL_REFERENCE	RECONSTRUCTED_TRUSTED	BATCH06		Survey counts and stated insights reconstructed; source contains some category totals that do not fully reconcile to n=124 and are preserved as reported.
All.zip	00. BEST Juli 2026 - Watermark.pdf	pages	47	OPERATIONAL_REFERENCE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH05	FINE_GRAIN_VISUAL_OR_TABLE_NOT_ROW_PERFECT	Latest BEST meeting in this cluster. Text extracted; reconstructed as monthly operating-review rhythm, not row-perfect dealer performance ledger.
All.zip	BEST April 2026_watermark (1).pdf	pages	47	OPERATIONAL_REFERENCE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH05	CURRENTNESS_OR_HISTORICAL_BOUNDARY	Historical support for BEST cadence, business control, PDI digital, exterior/fascia, and CRM controls.
All.zip	BEST CLOSING NOVEMBER 2025 (Watermark).pdf	pages	33	OPERATIONAL_REFERENCE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH05	CURRENTNESS_OR_HISTORICAL_BOUNDARY	Historical support for 2026 forecast/calendar/KPI preparation and automated BTL orientation.
All.zip	BEST CLOSING OCTOBER 2025 (Watermark).pdf	pages	55	OPERATIONAL_REFERENCE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH05	CURRENTNESS_OR_HISTORICAL_BOUNDARY	Historical support for thematic event consistency, SPK phone accuracy, run-out controls, actual BTL by SEEDS, and social content review.
All.zip	BEST Februari 2026 (watermark).pdf	pages	41	OPERATIONAL_REFERENCE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH05	CURRENTNESS_OR_HISTORICAL_BOUNDARY	Historical support for digital presence, BTL execution accuracy, PDI tools, HC3/CDB/Mystery/LCR controls.
All.zip	BEST Maret 2026_watermark (2).pdf	pages	53	OPERATIONAL_REFERENCE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH05	CURRENTNESS_OR_HISTORICAL_BOUNDARY	Historical support for Q1 sales/logistics/activity pattern and issue vocabulary; not current operational target.
All.zip	Best Meeting Desember 2025.pdf	pages	32	OPERATIONAL_REFERENCE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH05	CURRENTNESS_OR_HISTORICAL_BOUNDARY	Historical support for 2026 market calendar planning and BEST operating review topics.
All.zip	Closing Meeting Januari 2026.pdf	pages	47	OPERATIONAL_REFERENCE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH09	CURRENTNESS_OR_HISTORICAL_BOUNDARY	BEST meeting snapshot dated 31 Jan 2026. Dealer-level tables are not promoted as evergreen rules; later 2026 BEST/business-memory sources supersede where applicable.
All.zip	Materi Closing BEST Juni 2026_watermark.pdf	pages	49	OPERATIONAL_REFERENCE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH05	CURRENTNESS_OR_HISTORICAL_BOUNDARY	Historical support for BEST cadence and recurring digital/BTL/CRM controls; not treated as current July/August policy except where repeated by later source.
All.zip	Meeting Netdev Strategy 2026 dan Perapihan Pengkodean POS.pdf	pages	28	OPERATIONAL_REFERENCE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH05	FINE_GRAIN_VISUAL_OR_TABLE_NOT_ROW_PERFECT	Image/screenshot PDF: text extraction empty. Reconstruction is from visual-render inspection of key pages/contact sheets, not row-perfect text.
All.zip	ND Plan & Reshape Review_Sinsen 2026.pptx	slides	64	OPERATIONAL_REFERENCE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH05	OTHER_BOUNDED_LIMITATION	Actual deck text extracted and visually checked. Many tables are review templates/dummy examples; reconstructed as required thinking flow/template, not actual filled MD performance.
All.zip	Penegasan Pelaksanaan Exhibition, Roadshow, & Showroom Event.pdf	pages	4	OPERATIONAL_REFERENCE	RECONSTRUCTED_TRUSTED	BATCH06		Execution standards, reporting, and historical New Normal clauses reconstructed from actual letter.
All.zip	Petunjuk Pelaksanaan Program Pameran dan Roadshow Periode Januari - April 2023 (2).pdf	pages	4	OPERATIONAL_REFERENCE	RECONSTRUCTED_TRUSTED	BATCH06		Program mechanics, event standards, LPJ, historical financial support and quota table reconstructed; monetary/tax/program terms are dated.
All.zip	SAFARI NOV 2022.pptx	slides	30	OPERATIONAL_REFERENCE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH06	FINE_GRAIN_VISUAL_OR_TABLE_NOT_ROW_PERFECT	Image-based deck reviewed visually; operational journey/rules reconstructed, not pixel-level transcription of every campaign screenshot.
All.zip	Survey VE 2025.pptx	slides	3	OPERATIONAL_REFERENCE	RECONSTRUCTED_TRUSTED	BATCH06		NMS lead flow, chassis-number deal rule and survey collection guidance reconstructed from actual slides.
All.zip	VE SAFARI November 2022.pdf	pages	30	OPERATIONAL_REFERENCE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH06	DUPLICATE_OR_AGGREGATION	30-page image PDF visually matches SAFARI NOV 2022 deck as an export-equivalent source; retained for provenance, not counted as unique semantic content.
All.zip	Virtual Exhibition (+SAFARI) - April 2022.pdf	pages	17	OPERATIONAL_REFERENCE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH06	CURRENTNESS_OR_HISTORICAL_BOUNDARY|FINE_GRAIN_VISUAL_OR_TABLE_NOT_ROW_PERFECT	Lead taxonomy, deduplication, source-code flow and SLA reconstructed; historical performance tables not row-perfect.
1. ASSDP Lite.zip	130. Petunjuk Pelaksanaan Final Project Training ASSDP - Advance 2025.pdf	pages	4	TRAINING_PROJECT_REQUIREMENT	RECONSTRUCTED_TRUSTED	BATCH08		All 4 pages visually reviewed. Submission timing, participant list and Rp4,000,000 cost-recovery clause are historical administration, not professional operating rules.
1. ASSDP Lite.zip	ASSDP Advance Tanadi Santoso Material.pdf	pages	104	CUSTOMER_ORGANIZATION_CHANGE_METHOD_REFERENCE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH08	ILLUSTRATIVE_OR_EXTERNAL_CLAIM_BOUNDARY	All 104 pages visually scanned and text-extracted. Customer centricity, power moments, organizational design and change models reconstructed; external cases and generalized NPS interpretation bands remain illustrative.
1. ASSDP Lite.zip	ASSDP Advance for AHM_7^09Okt2025.pdf	pages	152	ADVANCED_SUPERVISORY_METHOD_REFERENCE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH08	ILLUSTRATIVE_OR_EXTERNAL_CLAIM_BOUNDARY	All 152 pages visually scanned and text-extracted. Durable methods reconstructed; training timings, survey percentages and illustrative examples are not universal operating rules.
1. ASSDP Lite.zip	Materi - SPV Role - ko PET.pptx	slides	10	AHM_INTERNAL_SPV_ROLE_REFERENCE	RECONSTRUCTED_TRUSTED	BATCH08		All 10 slides rendered and visually reviewed. Role model, dealer-review minimum items, monitoring and connector/consultant framing reconstructed.
1. ASSDP Lite.zip	WRAPUP Materi - ASSDP Advance (RAR).pptx	slides	44	AHM_INTERNAL_ADVANCE_WRAPUP	RECONSTRUCTED_TRUSTED	BATCH08		Actual PPTX renders to 44 slides, correcting prior inventory metadata of 80. All 44 slides visually reviewed. Dated ring weights/examples are historical guidance.
