SOURCE_PATH	SOURCE_LINE_START	SOURCE_LINE_END	SOURCE_HEADING	TARGET_MODULE	TARGET_SECTION	STATUS	CONFLICT_ID	UNIQUE_INFORMATION	EVIDENCE_LINK	NOTES
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1	10	CANONICAL ROADMAP LOCK	docs/afpd/02_ARCHITECTURE_AND_GOVERNANCE.md	Canonical Roadmap Lock	HISTORICAL	none	YES	none	Historical roadmap lock metadata
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	11	18	AIRO Finance Command Center - Final Kitab v2	docs/afpd/01_PROJECT_CHARTER.md	AIRO Finance Command Center	CURRENT	none	YES	none	Ecosystem project header
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	19	50	0. Executive Decision	docs/afpd/01_PROJECT_CHARTER.md	Executive Decisions	CURRENT	AUTHORITY_FINAL_KITAB_VS_ARFIN	YES	none	Initial executive consensus
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	51	65	1. Core Principles	docs/afpd/01_PROJECT_CHARTER.md	Core Principles	CURRENT	none	YES	none	System design philosophies
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	66	67	2. Final Layer Architecture	docs/afpd/02_ARCHITECTURE_AND_GOVERNANCE.md	Architecture Overview	CURRENT	none	YES	none	Layered flow diagram intro
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	68	75	Layer 1 - Input Sources	docs/afpd/04_RUNTIME_TOPOLOGY.md	Input Topology	CURRENT	none	YES	none	Ecosystem boundaries
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	76	89	2.1 Telegram Input	docs/afpd/04_RUNTIME_TOPOLOGY.md	Telegram Gateway Input	CURRENT	none	YES	none	Direct chat intake parameters
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	90	107	2.2 Email Notification Input	docs/afpd/04_RUNTIME_TOPOLOGY.md	Email Notification Ingestion	CURRENT	EMAIL_DEFAULT_OFF_VS_ACTIVE_RUNTIME	YES	none	Gmail notification input
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	108	121	2.3 Future Bank Mutation Input	docs/afpd/04_RUNTIME_TOPOLOGY.md	Future Bank Mutations	CURRENT	none	YES	none	Future bank interface scope
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	122	141	3. Clarification Layer	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Clarification Protocol	MERGE_REQUIRED	LEGACY_ALPHA_UX_VS_NUMERIC_UX	YES	none	Clarification flow rules
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	142	159	3.1 Mandatory Ambiguity Types	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Ambiguity Handling	MERGE_REQUIRED	LEGACY_ALPHA_UX_VS_NUMERIC_UX	YES	none	Direction and amount ambiguities
